,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-09-27,0.0,0.0,-0.0,5419.47232829205,0.0,-833.0621261989501,-0.0
2023-09-28,0.0,-0.0,-0.0,-31034.26236419955,0.0,4586.9972033664,0.0
2023-09-29,-0.0,-0.0,-0.0,-12805.98138718065,-0.0,42539.40652569975,-0.0
2023-10-02,0.0,-0.0,-0.0,41682.749378281194,-0.0,-3337.14836898,-0.0
2023-10-03,-0.0,0.0,-0.0,8900.89012866015,0.0,7091.3497431141,0.0
2023-10-04,-0.0,-0.0,-0.0,13888.04090465925,0.0,-416.9571382457135,-0.0
2023-10-05,0.0,-0.0,-0.0,16061.73936697215,0.0,-12928.643159771249,-0.0
2023-10-06,-0.0,0.0,0.0,-32778.8157857211,0.0,24609.2696082855,0.0
2023-10-09,-0.0,7317.273745341,0.0,-8029.536435639449,0.0,-6254.756519139,0.0
2023-10-10,-0.0,-2651.54900032845,0.0,5201.69557814415,0.0,12077.08404628005,0.0
2023-10-11,0.0,-16040.073667866749,0.0,9537.2956153782,-0.0,-31653.12262445775,0.0
2023-10-12,0.0,-3753.1304373780004,-0.0,9108.20601108765,-0.0,62503.62619192515,-0.0
2023-10-13,-0.0,30934.134292509003,0.0,8675.368899336,-0.0,-16252.604502971399,0.0
2023-10-16,-10418.2458021855,7047.25668557145,-0.0,-4766.87938331025,-0.0,7389.92855936295,-0.0
2023-10-17,-2979.30715924545,-0.0,0.0,1518.09254350695,-0.0,13126.2648015708,0.0
2023-10-18,8944.4329170615,-10749.955872851551,0.0,-3689.4820755577502,-0.0,17827.1944990794,0.0
2023-10-19,38730.0030267852,-6794.5471180452005,0.0,-6072.21495182655,-0.0,3082.31338286925,0.0
2023-10-20,-28303.056266202897,4012.0695772821,0.0,16481.936956518,-0.0,-14178.82278337155,0.0
2023-10-23,-13654.983286325702,16887.586490434798,0.0,-10192.7768020569,9317.0437686702,-12226.666023341999,-0.0
2023-10-24,-15515.43985371105,11409.36469145235,0.0,-16263.40626995805,19963.0523693754,7396.89026399505,0.0
2023-10-25,-9928.1045053899,-10755.475905142801,0.0,14309.2363512213,17298.2158988319,-4930.3777028085005,-0.0
2023-10-26,-1861.30540267695,14208.630059130299,0.0,2818.16164443735,90472.56422558625,-6778.489298097151,-0.0
2023-10-27,3722.706001836,-15186.6764421417,0.0,-26664.82665863895,-22175.2151557929,15816.8794957713,-0.0
2023-10-30,-8809.84095849765,21051.428742662847,0.0,1517.4134463708,-52774.52933711025,-15096.965222731951,0.0
2023-10-31,1986.1540013731499,8411.08422188925,-0.0,-0.0,89875.46565508006,4007.0073977298,-0.0
2023-11-01,-14895.58383141345,3781.58278293315,-0.0,0.0,-32644.09675666395,5547.951350092801,-0.0
2023-11-02,-19864.07858657205,-13172.52847236615,0.0,0.0,-8867.771143287751,16338.34892380455,0.0
2023-11-03,28801.07348522355,12715.24217558085,0.0,0.0,17331.35426036415,28975.5974168226,0.0
2023-11-06,0.0,-6061.4022922578,-0.0,19076.54259558825,-57207.44132167005,10167.603939935101,-0.0
2023-11-07,-26053.61100989895,-22482.109539144,-0.0,-17339.4287524881,-0.0,-1642.97597514255,-0.0
2023-11-08,22318.8150549294,-13286.118762504899,-0.0,-17762.6864368836,-0.0,3078.8071277908502,0.0
2023-11-09,-23789.0675916513,2668.2676001694,0.0,1082.28680713215,-0.0,-18254.03143859055,0.0
